,中药类,药用来源大类,药用来源细类,药用部位大类,药用部位细类,药材种类序号,中药类别及其规格,中药炮制方法
0,6,7,3,1,1,1,0,0
1,6,1,549,1,1,1,99,0
2,6,1,593,4,8,1,99,0
3,6,1,929,1,7,6,99,0
4,6,1,929,1,7,2,99,0
5,6,1,643,1,1,3,99,0
6,6,2,206,1,2,2,99,0
7,6,4,2,2,1,2,99,0
8,6,1,507,4,6,1,99,0
9,6,4,2,9,1,2,99,0
10,6,4,3,1,1,1,99,0
11,6,4,7,2,1,1,99,0
12,6,1,741,1,1,2,99,0
13,6,1,929,1,5,4,99,0
14,6,1,929,1,7,2,99,0
15,6,4,2,9,1,2,99,0
16,6,2,81,1,1,1,99,0
17,6,7,3,1,1,1,99,0
18,6,1,929,1,7,4,99,0
19,6,7,3,1,1,1,99,0
20,6,2,251,1,2,1,99,0
21,6,1,999,9,8,1,99,0
22,6,2,206,2,2,1,99,0
23,6,1,724,1,4,1,99,0
24,6,1,537,1,4,1,99,0
25,6,1,537,1,4,3,99,0
26,6,4,8,1,1,1,99,0
27,6,2,105,1,1,1,99,0
28,6,4,6,2,1,1,99,0
29,6,1,916,1,6,2,99,0
30,6,1,929,1,5,4,99,0
31,6,2,31,1,2,1,99,0
32,6,2,255,1,2,1,0,0
33,6,2,255,1,2,1,4,31
34,6,7,3,1,1,1,99,0
35,6,1,642,1,5,1,100,0
36,6,1,929,4,6,1,101,0
37,6,2,254,1,1,1,102,0
38,6,2,31,1,2,1,103,0
39,6,1,929,1,7,6,104,0
40,6,1,916,1,5,2,105,0
41,6,1,547,1,6,1,106,0
42,6,1,916,1,6,2,107,0
43,6,2,109,2,3,1,108,0
44,6,1,932,1,5,1,109,0
45,6,7,3,1,1,2,99,0
46,6,1,512,2,6,1,99,0
47,6,1,929,1,7,2,99,0
48,6,7,3,1,1,1,99,0
49,6,4,7,2,1,1,99,0
50,6,1,642,1,3,1,99,0
51,6,1,929,1,7,5,99,0
52,6,1,586,4,2,1,99,0
53,6,1,541,4,2,2,99,0
54,6,1,507,4,6,1,99,0
55,6,1,929,4,6,1,99,0
56,6,1,593,4,8,1,99,0
57,6,1,561,4,2,8,99,0
58,6,2,271,1,2,2,99,0
59,6,2,206,2,2,1,99,0
60,6,1,916,1,6,2,99,0
61,6,1,916,1,6,1,99,0
62,6,2,203,4,2,1,99,0
63,6,1,929,1,4,3,99,0
64,6,1,642,1,3,1,99,0
65,6,1,643,1,1,3,99,0
66,6,1,724,1,4,1,99,61
67,6,2,31,1,2,1,99,0
68,6,1,547,1,6,1,99,0
69,6,4,3,1,1,1,99,0
70,6,1,711,1,1,3,99,0
71,6,4,3,1,1,1,99,0
72,6,7,3,1,1,1,99,0
73,6,2,109,1,1,1,99,0
74,6,4,8,1,1,1,99,0
75,6,1,549,1,1,1,3,0
76,6,7,3,1,1,2,99,0
77,6,7,3,1,1,2,99,0
78,6,7,3,1,1,2,99,0
79,6,1,908,1,6,1,99,0
80,6,1,916,1,6,1,99,0
81,6,1,916,1,6,2,99,71
82,6,1,916,1,6,3,99,0
83,6,2,206,2,2,1,99,0
84,6,4,3,1,1,1,99,0
85,6,1,939,1,6,1,99,0
86,6,1,735,5,1,2,99,0
87,6,1,549,1,1,1,9,0
88,6,1,549,1,1,1,3,0
89,6,2,31,1,2,1,99,0
90,6,1,929,1,7,2,99,0
91,6,1,929,1,7,6,99,0
92,6,1,929,1,7,4,99,0
93,6,2,31,1,2,1,99,0
94,6,2,102,1,1,1,99,0
95,6,7,3,1,1,2,99,0
96,6,4,7,2,1,1,99,0
97,6,1,547,1,6,1,99,0
98,6,1,549,1,1,1,99,0
